MAT,Temp_molde,Temp_secado,Tiempo_secado,P_inyeccion,P_mantenimiento,Temp_barril,Temp_alimetacion,V_inyeccion,P1,P2,P3,P4,P5,P6,P7
1,80,80,239,1300,50,240,80,1,0,0,0,0,0,0,0
1,77,78,240,1300,50,240,80,1,2.064307458,0,0,0,0,0,0
1,79,79,234,1300,50,240,80,1,6.92994854,0,0,0,0,0,0
1,78,76,237,1300,50,240,80,1,8.444770602,0,0,0,0,0,0
1,75,73,233,1300,50,240,80,1,13.69455316,0,0,0,0,0,0
1,72,75,235,1300,50,240,80,1,14.98106472,0,0,0,0,0,0
1,71,71,236,1300,50,240,80,1,16.92895195,0,0,0,0,0,0
1,66,74,238,1300,50,240,80,1,19.03584112,0,0,0,0,0,0
1,70,70,231,1300,50,240,80,1,21.57579546,0,0,0,0,0,0
1,67,77,229,1300,50,240,80,1,26.84777488,0,0,0,0,0,0
1,69,67,232,1300,50,240,80,1,30.20810683,0,0,0,0,0,0
1,64,68,230,1300,50,240,80,1,30.8993803,0,0,0,0,0,0
1,60,65,228,1300,50,240,80,1,32.18589186,0,0,0,0,0,0
1,73,69,227,1300,50,240,80,1,37.43431543,0,0,0,0,0,0
1,61,72,222,1300,50,240,80,1,38.25786403,0,0,0,0,0,0
1,59,66,226,1300,50,240,80,1,46.46662318,0,0,0,0,0,0
1,58,63,223,1300,50,240,80,1,51.18413423,0,0,0,0,0,0
1,51,64,225,1300,50,240,80,1,60.18971516,0,0,0,0,0,0
1,45,62,221,1300,50,240,80,1,63.05401537,0,0,0,0,0,0
1,47,60,224,1300,50,240,80,1,65.12783576,0,0,0,0,0,0
1,48,61,220,1300,50,240,80,1,67.26779372,0,0,0,0,0,0
1,46,59,219,1300,50,240,80,1,69.09744872,0,0,0,0,0,0
1,44,57,217,1300,50,240,80,1,71.91916721,0,0,0,0,0,0
1,49,55,218,1300,50,240,80,1,76.04959411,0,0,0,0,0,0
1,38,58,214,1300,50,240,80,1,79.81626441,0,0,0,0,0,0
1,41,56,215,1300,50,240,80,1,81.40039501,0,0,0,0,0,0
1,39,53,216,1300,50,240,80,1,85.59197652,0,0,0,0,0,0
1,26,50,212,1300,50,240,80,1,87.93034718,0,0,0,0,0,0
1,27,52,213,1300,50,240,80,1,88.68775821,0,0,0,0,0,0
1,24,54,211,1300,50,240,80,1,89.44516924,0,0,0,0,0,0
1,25,51,208,1300,50,240,80,1,90.66554323,0,0,0,0,0,0
1,28,49,209,1300,50,240,80,1,92.33936725,0,0,0,0,0,0
1,80,80,240,1275,50,240,80,1,0,0,0,0,0,0,0
1,80,80,240,1278,48,240,80,1,0,3.833797387,0,0,0,0,0
1,80,80,240,1269,49,240,80,1,0,4.695866353,0,0,0,0,0
1,80,80,240,1178,46,240,80,1,0,8.379738702,0,0,0,0,0
1,80,80,240,1170,47,240,80,1,0,8.454701221,0,0,0,0,0
1,80,80,240,1013,45,240,80,1,0,14.83722425,0,0,0,0,0
1,80,80,240,1191,42,240,80,1,0,15.09959306,0,0,0,0,0
1,80,80,240,1292,44,240,80,1,0,20.28271578,0,0,0,0,0
1,80,80,240,1070,43,240,80,1,0,21.33219105,0,0,0,0,0
1,80,80,240,998,41,240,80,1,0,25.65324481,0,0,0,0,0
1,80,80,240,1274,40,240,80,1,0,26.55279503,0,0,0,0,0
1,80,80,240,1133,39,240,80,1,0,28.98907689,0,0,0,0,0
1,80,80,240,1221,38,240,80,1,0,33.12272435,0,0,0,0,0
1,80,80,240,1125,37,240,80,1,0,37.39558792,0,0,0,0,0
1,80,80,240,1039,36,240,80,1,0,43.55322339,0,0,0,0,0
1,80,80,240,1120,35,240,80,1,0,47.68687085,0,0,0,0,0
1,80,80,240,1291,34,240,80,1,0,50.57292782,0,0,0,0,0
1,80,80,240,1250,33,240,80,1,0,52.10965946,0,0,0,0,0
1,80,80,240,1033,32,240,80,1,0,58.67958878,0,0,0,0,0
1,80,80,240,1139,31,240,80,1,0,58.94195759,0,0,0,0,0
1,80,80,240,1161,30,240,80,1,0,60.66609552,0,0,0,0,0
1,80,80,240,789,28,240,80,1,0,68.58535018,0,0,0,0,0
1,80,80,240,934,29,240,80,1,0,68.99764404,0,0,0,0,0
1,80,80,240,1023,27,240,80,1,0,74.51809809,0,0,0,0,0
1,80,80,240,1186,26,240,80,1,0,75.86742343,0,0,0,0,0
1,80,80,240,1113,25,240,80,1,0,76.61704862,0,0,0,0,0
1,80,80,240,775,24,240,80,1,0,81.05054616,0,0,0,0,0
1,80,80,240,905,23,240,80,1,0,82.84964661,0,0,0,0,0
1,80,80,240,888,22,240,80,1,0,83.86164061,0,0,0,0,0
1,80,80,240,726,21,240,80,1,0,88.37010066,0,0,0,0,0
1,80,80,240,727,20,240,80,1,0,89.45705719,0,0,0,0,0
