MAT,Temp_molde,Temp_secado,Tiempo_secado,P_inyeccion,P_mantenimiento,Temp_barril,Temp_alimetacion,V_inyeccion,P1,P2,P3,P4,P5,P6,P7
1,40,79,61,1100,45,220,50,1.3,0,0,0,0,0,0,0
1,39,77,63,1100,45,220,50,1.3,7.072411766,0,0,0,0,0,0
1,38,78,60,1100,45,220,50,1.3,8.514818869,0,0,0,0,0,0
1,35,75,62,1100,45,220,50,1.3,13.03758945,0,0,0,0,0,0
1,32,74,54,1100,45,220,50,1.3,14.73400535,0,0,0,0,0,0
1,31,80,64,1100,45,220,50,1.3,17.09339334,0,0,0,0,0,0
1,30,76,56,1100,45,220,50,1.3,18.74363964,0,0,0,0,0,0
1,36,70,66,1100,45,220,50,1.3,19.8884277,0,0,0,0,0,0
1,34,72,57,1100,45,220,50,1.3,23.51322245,0,0,0,0,0,0
1,27,73,59,1100,45,220,50,1.3,25.07161102,0,0,0,0,0,0
1,29,69,69,1100,45,220,50,1.3,26.99791198,0,0,0,0,0,0
1,20,71,65,1100,45,220,50,1.3,28.00467271,0,0,0,0,0,0
1,33,67,53,1100,45,220,50,1.3,31.58121997,0,0,0,0,0,0
1,21,65,58,1100,45,220,50,1.3,33.32588335,0,0,0,0,0,0
1,22,66,67,1100,45,220,50,1.3,34.42450181,0,0,0,0,0,0
1,15,68,52,1100,45,220,50,1.3,37.4909536,0,0,0,0,0,0
1,23,64,68,1100,45,220,50,1.3,42.33546697,0,0,0,0,0,0
1,16,63,70,1100,45,220,50,1.3,44.81339577,0,0,0,0,0,0
1,19,62,55,1100,45,220,50,1.3,46.99370553,0,0,0,0,0,0
1,18,61,49,1100,45,220,50,1.3,48.64187395,0,0,0,0,0,0
1,17,58,72,1100,45,220,50,1.3,53.51051106,0,0,0,0,0,0
1,12,59,47,1100,45,220,50,1.3,53.71627238,0,0,0,0,0,0
1,13,57,71,1100,45,220,50,1.3,57.06037524,0,0,0,0,0,0
1,11,60,48,1100,45,220,50,1.3,60.82063796,0,0,0,0,0,0
