MAT,Temp_molde,Temp_secado,Tiempo_secado,P_inyeccion,P_mantenimiento,Temp_barril,Temp_alimetacion,V_inyeccion,P1,P2,P3,P4,P5,P6,P7
1,31,79,61,1100,45,220,50,1.3,0,0,0,0,0,0,0
1,25,77,63,1100,45,220,50,1.3,7.778954546,0,0,0,0,0,0
1,29,78,60,1100,45,220,50,1.3,8.626123554,0,0,0,0,0,0
1,30,75,62,1100,45,220,50,1.3,13.61105054,0,0,0,0,0,0
1,24,74,54,1100,45,220,50,1.3,16.0672419,0,0,0,0,0,0
1,32,80,64,1100,45,220,50,1.3,17.48054007,0,0,0,0,0,0
1,19,76,56,1100,45,220,50,1.3,18.4823156,0,0,0,0,0,0
1,26,70,66,1100,45,220,50,1.3,19.32948461,0,0,0,0,0,0
1,27,72,57,1100,45,220,50,1.3,21.9815732,0,0,0,0,0,0
1,23,73,59,1100,45,220,50,1.3,22.64710463,0,0,0,0,0,0
1,22,69,69,1100,45,220,50,1.3,24.24917021,0,0,0,0,0,0
1,28,71,65,1100,45,220,50,1.3,24.93169555,0,0,0,0,0,0
1,18,67,53,1100,45,220,50,1.3,27.26453395,0,0,0,0,0,0
1,21,65,58,1100,45,220,50,1.3,30.58198092,0,0,0,0,0,0
1,20,66,67,1100,45,220,50,1.3,31.60075036,0,0,0,0,0,0
1,14,68,52,1100,45,220,50,1.3,37.81276932,0,0,0,0,0,0
1,17,64,68,1100,45,220,50,1.3,41.7378092,0,0,0,0,0,0
1,16,63,70,1100,45,220,50,1.3,43.59388358,0,0,0,0,0,0
1,12,62,55,1100,45,220,50,1.3,45.72096066,0,0,0,0,0,0
1,11,61,49,1100,45,220,50,1.3,46.77389098,0,0,0,0,0,0
1,15,58,72,1100,45,220,50,1.3,51.26506003,0,0,0,0,0,0
1,13,59,47,1100,45,220,50,1.3,53.09683761,0,0,0,0,0,0
1,10,57,71,1100,45,220,50,1.3,54.84637988,0,0,0,0,0,0
1,6,60,48,1100,45,220,50,1.3,57.03869836,0,0,0,0,0,0
1,9,56,51,1100,45,220,50,1.3,59.15864561,0,0,0,0,0,0
1,7,55,73,1100,45,220,50,1.3,62.55427842,0,0,0,0,0,0
1,8,53,50,1100,45,220,50,1.3,64.69834941,0,0,0,0,0,0
1,5,54,46,1100,45,220,50,1.3,66.24213037,0,0,0,0,0,0
1,2,52,74,1100,45,220,50,1.3,68.99344817,0,0,0,0,0,0
1,1,50,76,1100,45,220,50,1.3,72.18041235,0,0,0,0,0,0
1,4,51,43,1100,45,220,50,1.3,73.0517051,0,0,0,0,0,0
1,3,48,77,1100,45,220,50,1.3,74.8765259,0,0,0,0,0,0
1,32.5,80,60,1085,42,220,50,1.3,0,0,0,0,0,0,0
1,32.5,80,60,1073,43,220,50,1.3,0,1.312910284,0,0,0,0,0
1,32.5,80,60,942,45,220,50,1.3,0,8.307804522,0,0,0,0,0
1,32.5,80,60,1092,44,220,50,1.3,0,10.13129103,0,0,0,0,0
1,32.5,80,60,1099,38,220,50,1.3,0,13.61050328,0,0,0,0,0
1,32.5,80,60,1028,40,220,50,1.3,0,13.64697301,0,0,0,0,0
1,32.5,80,60,973,39,220,50,1.3,0,15.14223195,0,0,0,0,0
1,32.5,80,60,963,41,220,50,1.3,0,15.21517141,0,0,0,0,0
1,32.5,80,60,980,37,220,50,1.3,0,19.78847557,0,0,0,0,0
1,32.5,80,60,976,35,220,50,1.3,0,23.61779723,0,0,0,0,0
1,32.5,80,60,906,36,220,50,1.3,0,27.86287381,0,0,0,0,0
1,32.5,80,60,964,34,220,50,1.3,0,28.84755653,0,0,0,0,0
1,32.5,80,60,1006,33,220,50,1.3,0,30.99927061,0,0,0,0,0
